Gondi Word	Telugu Meaning
आंता	చాలు
हायुडु	చావడం
वत्तिस होन्‍मड़	చిక్కి పోవడము
कोर्री	చిక్కుడు
कोर्री काया	చిక్కుడు కాయలు
गोरु सिक्‍कुड काया	చికుడ్ కాయ
काडी कचरा	చితుక చెమెరా
सिन्नी	చినమ్మ
सिन्ने पेगिड	చిన్న ఆడపాప
सिन्ने नार	చిన్న ఊరు
सिने कच्‍लम	చిన్న ఎద్దుల బండి
अंचे	చిన్న గంప
गुंटा	చిన్న చెల్మె
सिन्ने मीन	చిన్న చేప
पंते	చిన్న దీపము
बंडा	చిన్న బండలు
